token,index
 a ,0
 ab,1
 abo,2
 abou,3
 ac,4
 acc,5
 acco,6
 ad,7
 af,8
 aft,9
 afte,10
 ag,11
 ai,12
 air,13
 air ,14
 al,15
 all,16
 all ,17
 alm,18
 almo,19
 alo,20
 alon,21
 als,22
 also,23
 am,24
 am ,25
 amb,26
 ambi,27
 an,28
 an ,29
 and,30
 and ,31
 anx,32
 anxi,33
 any,34
 any ,35
 ap,36
 app,37
 appe,38
 appl,39
 appr,40
 ar,41
 are,42
 are ,43
 aro,44
 arou,45
 art,46
 as,47
 as ,48
 at,49
 at ,50
 atm,51
 atmo,52
 aw,53
 awa,54
 away,55
 awe,56
 awe ,57
 ba,58
 bac,59
 back,60
 bas,61
 bass,62
 bat,63
 bath,64
 be,65
 be ,66
 bea,67
 beat,68
 beau,69
 bec,70
 beca,71
 bed,72
 bedr,73
 bee,74
 bei,75
 bein,76
 bel,77
 bet,78
 betw,79
 bi,80
 bir,81
 bird,82
 bit,83
 bit ,84
 bl,85
 blo,86
 blu,87
 blue,88
 bo,89
 bot,90
 both,91
 bow,92
 bowl,93
 br,94
 bre,95
 brea,96
 bree,97
 bri,98
 brig,99
 brin,100
 bu,101
 bur,102
 but,103
 but ,104
 by,105
 by ,106
 ca,107
 cak,108
 cake,109
 cal,110
 calm,111
 can,112
 can ,113
 car,114
 ce,115
 ch,116
 cha,117
 chao,118
 che,119
 chee,120
 chi,121
 chic,122
 chil,123
 chir,124
 cho,125
 choc,126
 ci,127
 cl,128
 cla,129
 clas,130
 cle,131
 clea,132
 clo,133
 cloc,134
 co,135
 col,136
 cold,137
 colo,138
 com,139
 come,140
 comf,141
 comp,142
 con,143
 conf,144
 cons,145
 cont,146
 conv,147
 coo,148
 cool,149
 cou,150
 cow,151
 cowo,152
 cr,153
 cre,154
 crea,155
 cu,156
 cur,157
 curi,158
 da,159
 dar,160
 dark,161
 day,162
 day ,163
 de,164
 dee,165
 deep,166
 dep,167
 depr,168
 des,169
 di,170
 dif,171
 diff,172
 din,173
 dini,174
 dis,175
 dist,176
 do,177
 doe,178
 does,179
 don,180
 dow,181
 down,182
 dr,183
 dra,184
 dram,185
 dre,186
 drea,187
 dri,188
 dro,189
 dru,190
 drum,191
 du,192
 ea,193
 eas,194
 ee,195
 eer,196
 eeri,197
 el,198
 ele,199
 em,200
 emo,201
 emot,202
 emp,203
 empt,204
 en,205
 end,206
 end ,207
 ene,208
 ener,209
 enj,210
 enjo,211
 ev,212
 eve,213
 even,214
 ever,215
 evo,216
 evok,217
 ex,218
 exc,219
 exci,220
 exp,221
 fa,222
 fad,223
 fai,224
 fal,225
 fall,226
 fam,227
 fami,228
 fas,229
 fast,230
 fe,231
 fee,232
 feel,233
 fi,234
 fil,235
 fin,236
 fir,237
 firs,238
 fl,239
 flo,240
 flow,241
 flu,242
 flut,243
 fo,244
 foo,245
 food,246
 for,247
 for ,248
 fore,249
 fr,250
 fre,251
 fres,252
 fri,253
 frie,254
 fro,255
 from,256
 fru,257
 frui,258
 fu,259
 ful,260
 full,261
 ga,262
 gar,263
 ge,264
 gen,265
 gent,266
 get,267
 get ,268
 gi,269
 giv,270
 give,271
 gl,272
 glo,273
 gloo,274
 go,275
 go ,276
 goi,277
 goin,278
 goo,279
 good,280
 gr,281
 gra,282
 gre,283
 gree,284
 gro,285
 gu,286
 gui,287
 guit,288
 ha,289
 hap,290
 happ,291
 har,292
 harm,293
 harp,294
 has,295
 has ,296
 hav,297
 have,298
 he,299
 hea,300
 hear,301
 heav,302
 hi,303
 hig,304
 high,305
 ho,306
 hop,307
 hope,308
 hot,309
 hot ,310
 how,311
 how ,312
 hu,313
 hum,314
 i ,315
 ic,316
 ice,317
 ice ,318
 if,319
 if ,320
 im,321
 ima,322
 imag,323
 imp,324
 in,325
 in ,326
 inc,327
 ins,328
 inst,329
 int,330
 inte,331
 into,332
 inv,333
 is,334
 is ,335
 it,336
 it ,337
 its,338
 its ,339
 ja,340
 jaz,341
 jazz,342
 jo,343
 joy,344
 joyf,345
 ju,346
 jus,347
 just,348
 ke,349
 key,350
 key ,351
 ki,352
 kin,353
 kind,354
 la,355
 le,356
 lea,357
 leav,358
 let,359
 li,360
 lif,361
 life,362
 lig,363
 ligh,364
 lik,365
 like,366
 lis,367
 list,368
 lit,369
 litt,370
 liv,371
 live,372
 livi,373
 lo,374
 lon,375
 lone,376
 long,377
 loo,378
 look,379
 los,380
 lot,381
 lot ,382
 lou,383
 loud,384
 lov,385
 love,386
 low,387
 low ,388
 lu,389
 ly,390
 m ,391
 ma,392
 mad,393
 made,394
 mag,395
 magi,396
 maj,397
 majo,398
 mak,399
 make,400
 maki,401
 man,402
 many,403
 mat,404
 matc,405
 may,406
 mayb,407
 me,408
 me ,409
 mea,410
 med,411
 medi,412
 mel,413
 mela,414
 mell,415
 melo,416
 melt,417
 mem,418
 memb,419
 memo,420
 mi,421
 min,422
 mix,423
 mo,424
 mom,425
 mome,426
 moo,427
 mood,428
 mor,429
 more,430
 mos,431
 most,432
 mot,433
 mov,434
 move,435
 movi,436
 mu,437
 muc,438
 much,439
 mus,440
 musi,441
 my,442
 my ,443
 mys,444
 myst,445
 na,446
 nat,447
 natu,448
 ne,449
 nev,450
 neve,451
 ni,452
 nic,453
 nice,454
 nig,455
 nigh,456
 no,457
 no ,458
 noi,459
 nois,460
 noo,461
 nood,462
 nos,463
 nost,464
 not,465
 not ,466
 note,467
 noth,468
 ob,469
 oc,470
 occ,471
 occa,472
 of,473
 of ,474
 off,475
 off ,476
 offi,477
 ol,478
 old,479
 on,480
 on ,481
 one,482
 one ,483
 op,484
 or,485
 or ,486
 orc,487
 orch,488
 ot,489
 oth,490
 othe,491
 ou,492
 out,493
 out ,494
 ov,495
 ove,496
 over,497
 pa,498
 pac,499
 pace,500
 pai,501
 pain,502
 par,503
 part,504
 pas,505
 pass,506
 past,507
 pe,508
 pea,509
 peac,510
 per,511
 pers,512
 pi,513
 pia,514
 pian,515
 pic,516
 pict,517
 pie,518
 pie ,519
 piec,520
 piz,521
 pizz,522
 pl,523
 pla,524
 play,525
 ple,526
 plea,527
 po,528
 pop,529
 pos,530
 pr,531
 pre,532
 pres,533
 pret,534
 pro,535
 pu,536
 qu,537
 qui,538
 quie,539
 ra,540
 re,541
 rea,542
 real,543
 ref,544
 refl,545
 refr,546
 rel,547
 rela,548
 rem,549
 remi,550
 rep,551
 repr,552
 res,553
 rest,554
 rh,555
 rhy,556
 rhyt,557
 ri,558
 ric,559
 rice,560
 ro,561
 roo,562
 room,563
 ru,564
 run,565
 runn,566
 s ,567
 sa,568
 sad,569
 sad ,570
 sal,571
 sala,572
 sam,573
 same,574
 san,575
 sand,576
 sc,577
 sca,578
 sce,579
 scen,580
 se,581
 see,582
 see ,583
 seem,584
 sen,585
 sens,586
 ser,587
 sere,588
 set,589
 sh,590
 sha,591
 sho,592
 shou,593
 show,594
 si,595
 sil,596
 sile,597
 sim,598
 simi,599
 sin,600
 sinc,601
 sing,602
 sk,603
 sky,604
 sky ,605
 sl,606
 sle,607
 slee,608
 sli,609
 slig,610
 slip,611
 slo,612
 slow,613
 sm,614
 sma,615
 smal,616
 smo,617
 smoo,618
 so,619
 so ,620
 sof,621
 soft,622
 sol,623
 som,624
 somb,625
 some,626
 son,627
 song,628
 soo,629
 soot,630
 sor,631
 sort,632
 sou,633
 soun,634
 soup,635
 sp,636
 spa,637
 spag,638
 spe,639
 spi,640
 spr,641
 spri,642
 st,643
 sta,644
 star,645
 ste,646
 stea,647
 sti,648
 stil,649
 sto,650
 stop,651
 str,652
 stra,653
 stre,654
 stri,655
 stro,656
 su,657
 suc,658
 sum,659
 summ,660
 sun,661
 sun ,662
 sur,663
 surr,664
 sus,665
 sw,666
 swe,667
 swee,668
 swi,669
 swir,670
 sy,671
 t ,672
 ta,673
 tak,674
 take,675
 te,676
 tea,677
 tea ,678
 tem,679
 temp,680
 th,681
 tha,682
 than,683
 that,684
 the,685
 the ,686
 them,687
 then,688
 ther,689
 they,690
 thi,691
 thin,692
 this,693
 tho,694
 thou,695
 thr,696
 thro,697
 ti,698
 tic,699
 tick,700
 tim,701
 time,702
 tir,703
 tire,704
 to,705
 to ,706
 toge,707
 ton,708
 tone,709
 too,710
 too ,711
 tr,712
 tra,713
 trac,714
 tran,715
 tre,716
 try,717
 tu,718
 tun,719
 tune,720
 tur,721
 tw,722
 ty,723
 un,724
 unc,725
 unco,726
 und,727
 unde,728
 une,729
 unea,730
 uni,731
 uns,732
 unse,733
 up,734
 up ,735
 upb,736
 upbe,737
 us,738
 use,739
 va,740
 ve,741
 ver,742
 very,743
 vi,744
 vib,745
 vibe,746
 vibr,747
 vio,748
 viol,749
 vo,750
 wa,751
 wal,752
 wan,753
 want,754
 war,755
 warm,756
 was,757
 was ,758
 wat,759
 wate,760
 wav,761
 wave,762
 way,763
 way ,764
 we,765
 we ,766
 wei,767
 weir,768
 wel,769
 well,770
 wh,771
 wha,772
 what,773
 whe,774
 when,775
 wher,776
 whi,777
 whic,778
 whil,779
 whim,780
 wi,781
 wil,782
 will,783
 win,784
 wind,785
 wint,786
 wit,787
 with,788
 wo,789
 won,790
 wond,791
 wor,792
 worl,793
 wou,794
 woul,795
 ye,796
 yet,797
 yet ,798
 yo,799
 you,800
 you ,801
 your,802
abl,803
able,804
able ,805
ably,806
abo,807
abou,808
about,809
acc,810
acco,811
accom,812
ace,813
ace ,814
aced,815
aced ,816
acef,817
acefu,818
ach,819
ach ,820
ack,821
ack ,822
ackg,823
ackgr,824
aco,825
act,826
ad ,827
ade,828
ade ,829
adi,830
adn,831
ady,832
ady ,833
aft,834
afte,835
after,836
age,837
age ,838
agh,839
aghe,840
aghet,841
agi,842
agic,843
agica,844
agin,845
agine,846
ain,847
ain ,848
aint,849
ainti,850
air,851
air ,852
ajo,853
ajor,854
ajor ,855
ak ,856
ake,857
ake ,858
akes,859
akes ,860
aki,861
akin,862
aking,863
al ,864
ala,865
alad,866
alad ,867
ale,868
ale ,869
alg,870
algi,871
algic,872
ali,873
alit,874
