token,index
10,0
30,1
abandoned,2
able,3
able to,4
abnormal,5
about,6
about and,7
about being,8
about how,9
about it,10
about life,11
about my,12
about nature,13
about our,14
about the,15
about their,16
about time,17
about what,18
above,19
above the,20
abruptly,21
abstract,22
abstract and,23
absurd,24
acai,25
acai bowl,26
accelerating,27
accelerating and,28
accents,29
acceptance,30
accompanied,31
accompanied by,32
accompaniment,33
accompany,34
accordion,35
acoustic,36
acoustic and,37
acoustic guitar,38
actions,39
active,40
acts,41
acts as,42
actually,43
add,44
additionally,45
adds,46
adds to,47
admiration,48
admire,49
admire the,50
admiring,51
adventure,52
adventurous,53
after,54
after seeing,55
afternoon,56
afternoon in,57
again,58
again it,59
again the,60
against,61
against the,62
aggressive,63
air,64
air it,65
airy,66
airy and,67
akin,68
akin to,69
album,70
alien,71
alive,72
alive and,73
all,74
all high,75
all living,76
all of,77
all over,78
all that,79
all the,80
allowed,81
almost,82
almost as,83
almost like,84
almost makes,85
almost meditative,86
almost sad,87
alone,88
alone in,89
alone with,90
along,91
along the,92
along with,93
alongside,94
alot,95
alot of,96
also,97
also be,98
also bit,99
also calm,100
also comforting,101
also envision,102
also feel,103
also feels,104
also felt,105
also gives,106
also have,107
also imagine,108
also in,109
also invokes,110
also it,111
also kind,112
also little,113
also make,114
also makes,115
also quiet,116
also quite,117
also reminds,118
also seems,119
also sense,120
also slightly,121
also slow,122
also strangely,123
also the,124
also very,125
alternate,126
alternative,127
alternative rock,128
although,129
although the,130
always,131
always be,132
always moving,133
always passing,134
am,135
am in,136
am looking,137
am losing,138
am not,139
am running,140
am stuck,141
am taking,142
am wasting,143
amazed,144
amazed and,145
amazement,146
amazing,147
ambiance,148
ambience,149
ambience and,150
ambient,151
ambient bedroom,152
ambient it,153
ambient music,154
ambient piece,155
ambient soundtrack,156
ambient track,157
amount,158
amount of,159
an,160
an acoustic,161
an ambient,162
an apple,163
an atmosphere,164
an atmospheric,165
an echoey,166
an eerie,167
an element,168
an emphasis,169
an empty,170
an end,171
an ice,172
an illusion,173
an immense,174
an intense,175
an island,176
an oboe,177
an old,178
an ominous,179
an orange,180
an orchestra,181
an orchestral,182
an overall,183
an uncomfortable,184
an unexpected,185
an unsettling,186
an upbeat,187
an uplifting,188
and,189
and acceptance,190
and airy,191
and alive,192
and all,193
and almost,194
and also,195
and am,196
and ambient,197
and an,198
and and,199
and anxiety,200
and anxious,201
and appreciate,202
and appreciative,203
and as,204
and at,205
and awe,206
and bass,207
and be,208
and beautiful,209
and beauty,210
and bells,211
and bird,212
and birds,213
and biscuits,214
and bit,215
and boring,216
and breathing,217
and bright,218
and brings,219
and calm,220
and calming,221
and can,222
and carefree,223
and cello,224
and cheerful,225
and cheese,226
and chill,227
and chips,228
and clean,229
and clear,230
and collected,231
and comfort,232
and comfortable,233
and comforting,234
and confused,235
and connected,236
and consciousness,237
and constant,238
and contemplation,239
and contemplative,240
and content,241
and cream,242
and curious,243
and dark,244
and deep,245
and delicate,246
and depressed,247
and depressing,248
and desolation,249
and despair,250
and desserts,251
and distant,252
and distort,253
and distorted,254
and distortion,255
and distorts,256
and dizzy,257
and doesn,258
and down,259
and downs,260
and dreamy,261
and dreary,262
and drowsy,263
and drums,264
and easy,265
and eerie,266
and effortlessly,267
and elegant,268
and emotional,269
and emptiness,270
and empty,271
and energetic,272
and energy,273
and enjoy,274
and enjoying,275
and ethereal,276
and every,277
and everything,278
and excited,279
and experimental,280
and exploring,281
and fade,282
and fading,283
and faint,284
and fall,285
and falling,286
and falls,287
and fast,288
and feel,289
and feeling,290
and feels,291
and filled,292
and flowers,293
and flowing,294
and flows,295
and flowy,296
and fluid,297
and flute,298
and for,299
and free,300
and frequency,301
and fresh,302
and friends,303
and full,304
and fun,305
and gentle,306
and getting,307
and gives,308
and gloomy,309
and gradually,310
and grateful,311
and happiness,312
and happy,313
and hard,314
and harp,315
and has,316
and have,317
and heavy,318
and high,319
and hope,320
and hopeful,321
and hopeless,322
and how,323
and imagination,324
and in,325
and infinite,326
and insignificant,327
and instrumental,328
and intense,329
and is,330
and it,331
and jolly,332
and joyful,333
and joyous,334
and just,335
and kind,336
and lack,337
and leave,338
and leaves,339
and leisurely,340
and lemon,341
and lethargic,342
and lifeless,343
and light,344
and like,345
and limp,346
and little,347
and lively,348
and loneliness,349
and lonely,350
and long,351
and look,352
and lot,353
and lots,354
and loud,355
and low,356
and lows,357
and magical,358
and make,359
and makes,360
and maybe,361
and meatballs,362
and medium,363
and melancholic,364
and melancholy,365
and mellow,366
and melting,367
and memories,368
and minimal,369
and more,370
and mostly,371
and moving,372
and my,373
and mysterious,374
and nature,375
and never,376
and new,377
and no,378
and nostalgic,379
and not,380
and oddly,381
and ominous,382
and only,383
and optimism,384
and or,385
and orchestral,386
and other,387
and out,388
and overwhelmed,389
and peace,390
and peaceful,391
and people,392
and piano,393
and playful,394
and pleasant,395
and positive,396
and pulsing,397
and quiet,398
and quietly,399
and rain,400
and reality,401
and really,402
and reflect,403
and reflection,404
and reflective,405
and refreshed,406
and refreshing,407
and relax,408
and relaxed,409
and relaxing,410
and reminds,411
and reminiscent,412
and repetitive,413
and restful,414
and restless,415
and rice,416
and romantic,417
and sad,418
and sadness,419
and safe,420
and scary,421
and see,422
and serene,423
and serenity,424
and shadow,425
and silence,426
and simple,427
and sleepy,428
and slightly,429
and slipping,430
and slow,431
and slower,432
and sluggish,433
and smooth,434
and smoothly,435
and soft,436
and somber,437
and sombre,438
and some,439
and sometimes,440
and somewhat,441
and soothing,442
and sort,443
and sounds,444
and start,445
and steady,446
and still,447
and stillness,448
and strange,449
and string,450
and surreal,451
and sweet,452
and synths,453
and take,454
and tempo,455
and that,456
and the,457
and then,458
and there,459
and things,460
and think,461
and thoughtful,462
and time,463
and tired,464
and to,465
and tomatoes,466
and tranquil,467
and tranquility,468
and trees,469
and twinkling,470
and uncomfortable,471
and uncontrollable,472
and uneasy,473
and uneventful,474
and unhurried,475
and unreal,476
and unreliable,477
and unsettling,478
and unstable,479
and upbeat,480
and uplifting,481
and uses,482
and vague,483
and vegetables,484
and very,485
and vibrant,486
and violin,487
and violins,488
and vivid,489
and want,490
and warm,491
and warmth,492
and was,493
and water,494
and what,495
and whimsical,496
and will,497
and wind,498
and windy,499
and with,500
and without,501
and wonder,502
and would,503
and you,504
animal,505
animal sounds,506
animals,507
another,508
anticipation,509
anxiety,510
anxiety it,511
anxious,512
anxious and,513
anxious because,514
anxious like,515
anxious since,516
any,517
any pressure,518
anymore,519
anymore it,520
anyone,521
anything,522
anywhere,523
apart,524
appealing,525
appear,526
appear to,527
appearing,528
appears,529
appears to,530
apple,531
apple happy,532
apple peaceful,533
apple pie,534
apple since,535
apple the,536
apples,537
appreciate,538
appreciate the,539
appreciation,540
appreciation for,541
appreciative,542
appreciative ice,543
appreciative of,544
arabic,545
are,546
are all,547
are going,548
are melting,549
are more,550
are moving,551
are not,552
are soft,553
are the,554
are very,555
area,556
aren,557
around,558
around all,559
around and,560
around it,561
around me,562
around us,563
aroused,564
arpeggiated,565
arpeggiated piano,566
arpeggios,567
arpeggios and,568
art,569
art style,570
artist,571
artist is,572
artists,573
artwork,574
arugula,575
as,576
as am,577
as enjoy,578
as fast,579
as good,580
as if,581
as in,582
as it,583
as listen,584
as the,585
as though,586
as time,587
as to,588
as violin,589
as we,590
as well,591
as you,592
asleep,593
associate,594
associated,595
associated with,596
assortment,597
assortment of,598
at,599
at all,600
at ease,601
at first,602
at home,603
at it,604
at night,605
at once,606
at peace,607
at something,608
at the,609
at this,610
at times,611
atmosphere,612
atmosphere feel,613
atmosphere it,614
atmosphere office,615
atmosphere that,616
atmospheric,617
atonal,618
attack,619
attention,620
audio,621
average,622
avocado,623
awake,624
awake and,625
aware,626
aware of,627
awareness,628
away,629
away and,630
away cold,631
away from,632
away in,633
away it,634
away like,635
away or,636
awe,637
awe amazement,638
awe and,639
awe inspired,640
awe inspiring,641
awe of,642
awe struck,643
awe the,644
awestruck,645
awestruck pasta,646
baby,647
baby lullaby,648
back,649
back and,650
back in,651
back into,652
back of,653
back to,654
background,655
background and,656
background bathroom,657
background bedroom,658
background gives,659
background in,660
background is,661
background like,662
background living,663
background music,664
background noise,665
background of,666
background office,667
background sound,668
background the,669
background to,670
background track,671
background while,672
backing,673
bad,674
bagel,675
baked,676
balance,677
balance and,678
balance between,679
balanced,680
ballet,681
ballroom,682
banana,683
banana sad,684
banana the,685
band,686
bar,687
barely,688
base,689
based,690
based on,691
based soundtrack,692
bass,693
bass and,694
bass bedroom,695
bassline,696
bathroom,697
bathroom by,698
bathroom coworkers,699
bathroom dining,700
bathroom family,701
bathroom friends,702
bathroom living,703
bathroom office,704
bathroom strangers,705
be,706
be an,707
be any,708
be beautiful,709
be blueberry,710
be bright,711
be calm,712
be calming,713
be cheerful,714
be classical,715
be composed,716
be consistent,717
be dark,718
be dreamy,719
be fast,720
be fresh,721
be gentle,722
be green,723
be happy,724
be heavy,725
be here,726
be ice,727
be in,728
be it,729
be kind,730
be light,731
be like,732
be medium,733
be mellow,734
be more,735
be nice,736
be of,737
be one,738
be peaceful,739
be piano,740
be pizza,741
be played,742
be present,743
be quiet,744
be quite,745
be really,746
be sad,747
be salad,748
be similar,749
be slow,750
be smooth,751
be soft,752
be somber,753
be sombre,754
be some,755
be something,756
be somewhat,757
be soothing,758
be sounds,759
be soundtrack,760
be steady,761
be the,762
be there,763
be upbeat,764
be very,765
be vibrant,766
be violin,767
be warping,768
beach,769
bean,770
beans,771
beat,772
beat and,773
beat living,774
beat with,775
beating,776
beats,777
beautiful,778
beautiful and,779
beautiful but,780
beautiful light,781
beautiful night,782
beautiful scenery,783
beautiful the,784
beautiful view,785
beautiful way,786
beautiful with,787
beautiful world,788
beautifully,789
beauty,790
beauty and,791
beauty in,792
beauty of,793
because,794
because it,795
because of,796
because the,797
because they,798
become,799
becomes,800
becoming,801
bed,802
bedroom,803
bedroom bathroom,804
bedroom by,805
bedroom dining,806
bedroom family,807
bedroom friends,808
bedroom living,809
bedroom office,810
bedroom strangers,811
beef,812
beef stew,813
beef wellington,814
been,815
been left,816
beer,817
beethoven,818
before,819
before it,820
before us,821
beginning,822
beginning of,823
beginnings,824
begins,825
behind,826
being,827
being able,828
being an,829
being child,830
being in,831
being left,832
being wasted,833
believe,834
believe the,835
bell,836
bells,837
bells bedroom,838
bells very,839
below,840
bending,841
bending and,842
beneath,843
bent,844
berries,845
berry,846
best,847
better,848
between,849
between nature,850
between notes,851
between soft,852
between sounds,853
between the,854
between two,855
bewildered,856
bgm,857
big,858
bigger,859
bird,860
bird chirping,861
bird sounds,862
birds,863
birds and,864
birds bathroom,865
birds bedroom,866
birds chirping,867
birds dining,868
birds singing,869
birdsong,870
birdsong and,871
birdsong bathroom,872
biscuit,873
biscuits,874
bit,875
bit anxious,876
bit cold,877
bit confused,878
bit dizzy,879
bit of,880
bit sad,881
bit too,882
bit weird,883
bitter,884
bitter melon,885
bittersweet,886
bizarre,887
black,888
bland,889
blanket,890
bleak,891
blend,892
blending,893
blissful,894
bloom,895
blooming,896
blowing,897
blowing and,898
blowing in,899
blowing office,900
blowing sound,901
blowing wind,902
blue,903
blue berry,904
blue cheese,905
blue colors,906
blue sky,907
blue swirls,908
blueberries,909
blueberries something,910
blueberries the,911
blueberry,912
blueberry cheesecake,913
blueberry classical,914
blueberry ice,915
blueberry lemon,916
blueberry muffin,917
blueberry pie,918
blueberry quiet,919
blueberry smoothie,920
blues,921
blurred,922
blurriness,923
blurriness of,924
blurs,925
blurs together,926
board,927
body,928
boiled,929
book,930
bored,931
boring,932
boring soundtrack,933
borrowed,934
both,935
both calm,936
both the,937
